Year,County_of_Residence,County_of_Residence_FIPS,Mothers_Single_Race,Mothers_Single_Race_Code,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Baldwin County, AL",01003,Asian,A,36,30.11,37.11,37.25,2991.81,24.61,10.42
2018-01-01,"Calhoun County, AL",01015,Asian,A,15,28.33,38.93,39.07,3437.53,25.59,9.8
2018-01-01,"Cochise County, AZ",04003,Asian,A,29,31.86,37.66,37.14,2934.03,24.37,7.96
2018-01-01,"Yuma County, AZ",04027,Asian,A,29,32.31,38.93,39.28,3244.72,24.62,10.68
2018-01-01,"Butte County, CA",06007,Asian,A,200,29.13,38.88,38.95,3259.41,26.3,10.7
2018-01-01,"Madera County, CA",06039,Asian,A,58,31.95,37.81,37.83,3011.53,25.93,11.52
2018-01-01,"Litchfield County, CT",09005,Asian,A,32,31.41,37.91,37.41,3136.97,24.26,12.5
2018-01-01,"Bay County, FL",12005,Asian,A,40,29.02,38.95,39.08,3379,24.42,10.5
2018-01-01,"Collier County, FL",12021,Asian,A,58,31.43,37.86,38.09,3041.91,24.18,10.86
2018-01-01,"Lee County, FL",12071,Asian,A,121,31.36,37.93,38.17,3111.73,23.24,10.12
2018-01-01,"Leon County, FL",12073,Asian,A,99,31.7,38.92,38.96,3212.58,23.98,11.65
2018-01-01,"Martin County, FL",12085,Asian,A,33,31.12,38.97,38.67,3330.09,24.91,12.56
2018-01-01,"St. Lucie County, FL",12111,Asian,A,52,32.37,37.77,37.79,2990.17,25.4,9.98
2018-01-01,"Whitfield County, GA",13313,Asian,A,18,30.94,37.78,37.28,2989.56,23.93,12.17
2018-01-01,"Canyon County, ID",16027,Asian,A,25,29.16,38.88,38.84,3201,24.46,10.56
2018-01-01,"Rock Island County, IL",17161,Asian,A,90,30.19,38.79,38.9,3204.08,24.22,11.47
2018-01-01,"Sangamon County, IL",17167,Asian,A,51,31.92,37.9,37.88,3051.82,24.39,11.63
2018-01-01,"Clark County, IN",18019,Asian,A,13,30.69,37.77,37.69,2934.77,24.14,11.38
2018-01-01,"Monroe County, IN",18105,Asian,A,84,31.73,38.93,39.05,3255.79,22.47,12.65
2018-01-01,"St. Joseph County, IN",18141,Asian,A,70,33.24,37.57,37.44,2998.38,22.66,11.32
2018-01-01,"Woodbury County, IA",19193,Asian,A,28,29.46,37.75,38,3044.79,25.05,11.32
2018-01-01,"Boone County, KY",21015,Asian,A,50,31.84,39.02,39.28,3278.54,23.47,11.44
2018-01-01,"Bossier Parish, LA",22015,Asian,A,30,29.57,38.77,38.83,3267.37,24.1,11.07
2018-01-01,"Caddo Parish, LA",22017,Asian,A,50,30.82,37.86,37.94,3111.06,24.93,11.86
2018-01-01,"Calcasieu Parish, LA",22019,Asian,A,78,30.45,37.65,37.44,3009.96,22.75,9.45
2018-01-01,"Tangipahoa Parish, LA",22105,Asian,A,21,29.38,39.19,39.76,3420.48,23.82,9.86
2018-01-01,"Kennebec County, ME",23011,Asian,A,12,30.42,37.17,37.42,2931.92,24.17,18.42
2018-01-01,"York County, ME",23031,Asian,A,40,31.55,38.9,39.38,3327,23.5,14.82
2018-01-01,"Cecil County, MD",24015,Asian,A,10,35.6,37.8,38,3035.5,23.12,11.8
2018-01-01,"Hampshire County, MA",25015,Asian,A,50,31.88,38.96,38.76,3315.84,22.45,13.11
2018-01-01,"Muskegon County, MI",26121,Asian,A,12,29.33,37.17,37.42,2963.08,23.95,10.67
2018-01-01,"Saginaw County, MI",26145,Asian,A,24,32.08,38.92,38.04,3253.75,24.14,12.65
2018-01-01,"St. Clair County, MI",26147,Asian,A,14,29.07,39.29,39.57,3398.14,25.21,11.93
2018-01-01,"Wright County, MN",27171,Asian,A,30,32.17,37.7,37.9,3091.2,25.71,10.86
2018-01-01,"DeSoto County, MS",28033,Asian,A,35,31.6,37.94,38.37,3145.54,24.37,9.88
2018-01-01,"Rankin County, MS",28121,Asian,A,39,29.85,37.97,37.87,3048.03,23.45,13.59
2018-01-01,"Boone County, MO",29019,Asian,A,124,31.2,39.04,38.77,3223.2,23.64,10.96
2018-01-01,"Jefferson County, MO",29099,Asian,A,21,30.95,36.71,37.1,2956.29,22.32,11.42
2018-01-01,"Yellowstone County, MT",30111,Asian,A,23,30.61,39.09,39.13,3283.09,24.5,12
2018-01-01,"Hillsborough County, NH",33011,Asian,A,236,31.08,38.89,39.01,3267.94,24.35,12.49
2018-01-01,"Unidentified Counties, NH",33999,Asian,A,74,31.18,38.88,39.09,3224.35,23.84,12.12
2018-01-01,"Sandoval County, NM",35043,Asian,A,18,34.28,37.72,38,2876.67,23.94,8.78
2018-01-01,"San Juan County, NM",35045,Asian,A,13,31.15,37.92,38.38,2976.46,25.22,10.31
2018-01-01,"Chautauqua County, NY",36013,Asian,A,11,27.82,39.45,39.45,3491.64,24.11,10.4
2018-01-01,"Onondaga County, NY",36067,Asian,A,251,30.81,38.87,38.96,3277.74,23.84,12.18
2018-01-01,"Ontario County, NY",36069,Asian,A,17,31.35,37.71,38.53,3074.12,23.96,10.56
2018-01-01,"Rensselaer County, NY",36083,Asian,A,69,31.13,38.96,39.43,3267.51,25.33,11.94
2018-01-01,"St. Lawrence County, NY",36089,Asian,A,10,32.5,38.9,38.7,3171.2,24.99,10.8
2018-01-01,"Schenectady County, NY",36093,Asian,A,124,31.24,39.02,39.02,3235.48,24.71,11.84
2018-01-01,"Ulster County, NY",36111,Asian,A,45,32.38,38.98,38.87,3332.24,26.16,11.02
2018-01-01,"Davidson County, NC",37057,Asian,A,34,30.15,37.71,38.24,3134.76,25.04,11.45
2018-01-01,"Henderson County, NC",37089,Asian,A,20,33.15,37.65,37.85,3034.25,21.99,13.85
2018-01-01,"New Hanover County, NC",37129,Asian,A,38,30.55,37.95,38.58,3366.62,23.92,11.05
2018-01-01,"Orange County, NC",37135,Asian,A,121,32.1,38.85,38.97,3176.17,22.74,11.01
2018-01-01,"Rowan County, NC",37159,Asian,A,35,30.83,38.79,38.82,3328.29,25.61,11.18
2018-01-01,"Allen County, OH",39003,Asian,A,13,29,37.31,38.92,3086.54,23.36,11.15
2018-01-01,"Fairfield County, OH",39045,Asian,A,33,30.55,37.36,37.52,2916.79,24.76,11.31
