STATE,NAME,ABBREVIATION,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
0,United States,US,322941311,324985539,326687501
0,Northeast Region,NR,56042330,56059240,56046620
0,Midwest Region,MR,67987540,68126781,68236628
0,South Region,SR,122351760,123542189,124569433
0,West Region,WR,76559681,77257329,77834820
1,Alabama,AL,4863525,4874486,4887681
2,Alaska,AK,741456,739700,735139
4,Arizona,AZ,6941072,7044008,7158024
5,Arkansas,AR,2989918,3001345,3009733
6,California,CA,39167117,39358497,39461588
8,Colorado,CO,5539215,5611885,5691287
9,Connecticut,CT,3578141,3573297,3571520
10,Delaware,DE,948921,956823,965479
11,District of Columbia,DC,685815,694906,701547
12,Florida,FL,20613477,20963613,21244317
13,Georgia,GA,10301890,10410330,10511131
15,Hawaii,HI,1427559,1424393,1420593
16,Idaho,ID,1682380,1717715,1750536
17,Illinois,IL,12820527,12778828,12723071
18,Indiana,IN,6634304,6658078,6695497
19,Iowa,IA,3131371,3141550,3148618
20,Kansas,KS,2910844,2908718,2911359
21,Kentucky,KY,4438182,4452268,4461153
22,Louisiana,LA,4678135,4670560,4659690
23,Maine,ME,1331317,1334612,1339057
24,Maryland,MD,6003323,6023868,6035802
25,Massachusetts,MA,6823608,6859789,6882635
26,Michigan,MI,9950571,9973114,9984072
27,Minnesota,MN,5522744,5566230,5606249
28,Mississippi,MS,2987938,2988510,2981020
29,Missouri,MO,6087135,6106670,6121623
30,Montana,MT,1040859,1052482,1060665
31,Nebraska,NE,1905616,1915947,1925614
32,Nevada,NV,2917563,2969905,3027341
33,New Hampshire,NH,1342307,1348787,1353465
34,New Jersey,NJ,8870827,8885525,8886025
35,New Mexico,NM,2091630,2091784,2092741
36,New York,NY,19633428,19589572,19530351
37,North Carolina,NC,10154788,10268233,10381615
38,North Dakota,ND,754434,754942,758080
39,Ohio,OH,11634370,11659650,11676341
40,Oklahoma,OK,3926331,3931316,3940235
41,Oregon,OR,4089976,4143625,4181886
42,Pennsylvania,PA,12782275,12787641,12800922
44,Rhode Island,RI,1056770,1055673,1058287
45,South Carolina,SC,4957968,5021268,5084156
46,South Dakota,SD,862996,872868,878698
47,Tennessee,TN,6646010,6708799,6771631
48,Texas,TX,27914410,28295273,28628666
49,Utah,UT,3041868,3101042,3153550
50,Vermont,VT,623657,624344,624358
51,Virginia,VA,8410106,8463587,8501286
53,Washington,WA,7294771,7423362,7523869
54,West Virginia,WV,1831023,1817004,1804291
55,Wisconsin,WI,5772628,5790186,5807406
56,Wyoming,WY,584215,578931,577601
